area,year,price,quarter
hokkaido,2004,16.729834383883738,1
hokkaido,2004,16.729834383883738,2
hokkaido,2004,16.729834383883738,3
hokkaido,2004,16.729834383883738,4
hokkaido,2005,16.444519283839746,1
hokkaido,2005,16.444519283839746,2
hokkaido,2005,16.444519283839746,3
hokkaido,2005,16.444519283839746,4
hokkaido,2006,17.147223141850144,1
hokkaido,2006,16.61776095964359,2
hokkaido,2006,16.5950550313228,3
hokkaido,2006,16.534223854582464,4
hokkaido,2007,16.46259541625648,1
hokkaido,2007,16.372655079839056,2
hokkaido,2007,16.747465397652295,3
hokkaido,2007,16.497313626680054,4
hokkaido,2008,17.26838530435491,1
hokkaido,2008,17.371640720805154,2
hokkaido,2008,17.425294781926205,3
hokkaido,2008,18.993162352314663,4
hokkaido,2009,16.91156315784598,1
hokkaido,2009,16.46879874789338,2
hokkaido,2009,16.654399101636777,3
hokkaido,2009,16.017199888423967,4
hokkaido,2010,16.351016992322524,1
hokkaido,2010,16.70307067791353,2
hokkaido,2010,16.77379979338008,3
hokkaido,2010,15.957704932525955,4
hokkaido,2011,16.90763953451095,1
hokkaido,2011,17.620338813993815,2
hokkaido,2011,17.612229434693287,3
hokkaido,2011,16.593061074079394,4
hokkaido,2012,17.437936969050366,1
hokkaido,2012,18.256266785274118,2
hokkaido,2012,17.496805950939944,3
hokkaido,2012,16.40006311041105,4
hokkaido,2013,17.705376812138446,1
hokkaido,2013,18.769512401067935,2
hokkaido,2013,19.486073587336712,3
hokkaido,2013,18.929049981803917,4
hokkaido,2014,20.307227419661135,1
hokkaido,2014,20.64148213646899,2
hokkaido,2014,21.402476092415437,3
hokkaido,2014,21.562692595505037,4
hokkaido,2015,22.431755419369324,1
hokkaido,2015,22.817461075614805,2
hokkaido,2015,22.960471497330694,3
hokkaido,2015,21.28227288923778,4
tohoku,2004,15.96533633112788,1
tohoku,2004,16.315720046512048,2
tohoku,2004,16.311776826591192,3
tohoku,2004,15.749476489660696,4
tohoku,2005,15.617513633646691,1
tohoku,2005,15.913601303504562,2
tohoku,2005,15.839883982565,3
tohoku,2005,16.20731298809889,4
tohoku,2006,16.33702227072018,1
tohoku,2006,16.28311165462124,2
tohoku,2006,15.825782916969178,3
tohoku,2006,16.133495910580617,4
tohoku,2007,15.723527697779422,1
tohoku,2007,16.049503318601104,2
tohoku,2007,15.980470526963602,3
